sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
GET Request,1,21,21,21,21,0.0,0.0,47.61904761904761,158.80766369047618,3415.0
TOTAL,1,21,21,21,21,0.0,0.0,47.61904761904761,158.80766369047618,3415.0
